title,cover,price,ebook
注意力经济,http://piccdn.igetget.com/img/201807/02/201807021922345819155584.jpg,41.40,
物质的秘密：藏在微观粒子里的神奇世界,http://piccdn.igetget.com/img/201811/01/201811011650322844159799.jpg,29.25,
阿里传:这是阿里巴巴的世界,http://piccdn.igetget.com/img/201607/21/201607211343039860639611.jpg,29.40,http://igetoss.cdn.igetget.com/ebook/201601/14/201601142038511734816637.zip
万万没想到,http://piccdn.igetget.com/img/201608/11/201608111309336650184591.jpg,18.00,http://igetoss.cdn.igetget.com/ebook/201608/11/201608111315270637886415.zip
白先勇细说红楼梦,http://piccdn.igetget.com/img/201706/13/201706132209015746221077.jpg,84.00,http://igetoss.cdn.igetget.com/ebook/201706/13/201706132153480396643258.zip
我们招聘什么样的应届生,http://piccdn.igetget.com/img/201707/13/201707131822317056879547.jpg,9.99,http://igetoss.cdn.igetget.com/ebook/201707/13/201707131824012546434747.zip
无界：智能革命与业态创新,http://piccdn.igetget.com/img/201707/17/201707172220556357705443.jpg,29.99,
那些科学家们彻夜忧虑的问题,http://piccdn.igetget.com/img/201709/20/201709201515173050893029.jpg,19.99,http://igetoss.cdn.igetget.com/ebook/201709/20/201709201521433715787615.zip
高效能人士的领导准则,http://piccdn.igetget.com/img/201709/21/201709211046509997741903.jpg,16.99,http://igetoss.cdn.igetget.com/ebook/201709/21/201709211051522081966722.zip
创业36条军规,http://piccdn.igetget.com/img/201709/21/201709211546283465006143.jpg,29.40,http://igetoss.cdn.igetget.com/ebook/201709/21/201709211552459337381548.zip
牛津通识读本：牛顿新传,http://piccdn.igetget.com/img/201710/18/201710181420306924461076.jpg,9.99,http://igetoss.cdn.igetget.com/ebook/201710/18/201710181424120044245141.zip
尤比克,http://piccdn.igetget.com/img/201711/07/201711070947338235077560.jpg,22.50,http://igetoss.cdn.igetget.com/ebook/201711/07/201711070951278265935636.zip
不可消失的门店,http://piccdn.igetget.com/img/201711/15/201711151449501418146542.jpg,12.99,
重塑：信息经济的结构,http://piccdn.igetget.com/img/201801/31/201801311846272103035878.jpg,19.99,
身份危机,http://piccdn.igetget.com/img/201803/02/201803021541102207403381.jpg,31.20,
传染,http://piccdn.igetget.com/img/201803/16/201803161634000353118138.jpg,27.84,
合作的财富,http://piccdn.igetget.com/img/201803/21/201803211619056339649119.jpg,19.99,
图灵的大教堂,http://piccdn.igetget.com/img/201803/29/201803291706020469848759.jpg,29.99,
硅谷革命：成就苹果公司的疯狂往事,http://piccdn.igetget.com/img/201805/27/201805272310468364536173.jpg,53.40,
群体性孤独,http://piccdn.igetget.com/img/201806/04/201806041839126848613131.jpg,16.99,
全球电商进化史,http://piccdn.igetget.com/img/201808/31/201808311553532812102995.jpg,12.99,
区块链：定义未来金融与经济新格局,http://piccdn.igetget.com/img/201809/04/201809041206402548573369.jpg,12.99,
寻找爽点,http://piccdn.igetget.com/img/201809/04/201809041847340684092779.jpg,29.99,
