title,cover,price,ebook
可视化未来,http://piccdn.igetget.com/img/201802/08/201802081356214945941321.jpg,19.99,
战后欧洲史,http://piccdn.igetget.com/img/201706/19/201706191223335646453902.jpg,100.80,http://igetoss.cdn.igetget.com/ebook/201706/19/201706191229361031563244.zip
灰犀牛,http://piccdn.igetget.com/img/201704/11/201704111744285275587280.jpg,35.40,
读懂乔布斯（2册装）,http://piccdn.igetget.com/img/201710/27/201710271808494759236429.jpg,82.00,http://igetoss.cdn.igetget.com/ebook/201710/27/201710271814572216608739.zip
十字军的故事（4册装）,http://piccdn.igetget.com/img/201711/20/201711201559087426656617.jpg,88.80,
人类简史：从动物到上帝,http://piccdn.igetget.com/img/201607/21/201607211219149029779403.jpg,27.20,
成功心理学：发现工作与生活的意义,http://piccdn.igetget.com/img/201712/14/201712141912595903155442.jpg,12.24,http://igetoss.cdn.igetget.com/ebook/201712/14/201712141929114223496499.zip
幸福的婚姻,http://piccdn.igetget.com/img/201712/25/201712251824098065209696.jpg,14.99,
从晚清到民国,http://piccdn.igetget.com/img/201607/21/201607211219495579539124.jpg,10.99,http://igetoss.cdn.igetget.com/ebook/201603/25/201603251434143750258711.zip
卧底经济学（全4册）,http://piccdn.igetget.com/img/201707/07/201707071903062605021772.jpg,108.00,http://igetoss.cdn.igetget.com/ebook/201707/07/201707071904006802959807.zip
美第奇家族,http://piccdn.igetget.com/img/201712/15/201712151942532803051301.jpg,16.99,http://igetoss.cdn.igetget.com/ebook/201712/15/201712151933138829731641.zip
超级IP,http://piccdn.igetget.com/img/201607/21/201607211220067995332345.jpg,29.40,http://igetoss.cdn.igetget.com/ebook/201607/12/201607121456238654549421.zip
十二怒汉,http://piccdn.igetget.com/img/201711/29/201711291146237016678937.jpg,23.99,http://igetoss.cdn.igetget.com/ebook/201711/29/201711291156193671527345.zip
“分水岭”大时代,http://piccdn.igetget.com/img/201612/25/201612251314244517034944.jpg,19.99,http://igetoss.cdn.igetget.com/ebook/201612/23/201612231149369368563063.zip
肯尼迪传,http://piccdn.igetget.com/img/201705/27/201705271722089720805562.jpg,64.80,http://igetoss.cdn.igetget.com/ebook/201705/27/201705271726504631917186.zip
说话有技巧（4册装）,http://piccdn.igetget.com/img/201707/20/201707200336157382001120.jpg,61.20,http://igetoss.cdn.igetget.com/ebook/201707/20/201707200340514237454152.zip
村落效应,http://piccdn.igetget.com/img/201712/17/201712171932577666049000.jpg,16.99,http://igetoss.cdn.igetget.com/ebook/201712/17/201712171950033698949072.zip
态度,http://piccdn.igetget.com/img/201810/24/201810241352214519347002.jpg,35.00,
华为管理法：任正非的企业管理心得,http://piccdn.igetget.com/img/201712/21/201712211747373431187593.jpg,9.99,http://igetoss.cdn.igetget.com/ebook/201712/21/201712211757036657611438.zip
团队协作的五大障碍（十年典藏版）,http://piccdn.igetget.com/img/201711/16/201711161533595622363816.jpg,15.60,http://igetoss.cdn.igetget.com/ebook/201711/16/201711161542500447893838.zip
颠覆者：周鸿祎自传,http://piccdn.igetget.com/img/201712/04/201712041737498084739970.jpg,8.99,http://igetoss.cdn.igetget.com/ebook/201712/04/201712041757419188454027.zip
中国科学技术通史1：源远流长,http://piccdn.igetget.com/img/201712/18/201712181730025089784908.jpg,49.90,http://igetoss.cdn.igetget.com/ebook/201712/18/201712181752422121981495.zip
历史的第三种读法,http://piccdn.igetget.com/img/201712/07/201712071733002689574640.jpg,12.99,http://igetoss.cdn.igetget.com/ebook/201712/07/201712071748096477404620.zip
高频交易员,http://piccdn.igetget.com/img/201607/21/201607211219385636638855.jpg,19.60,http://igetoss.cdn.igetget.com/ebook/201512/30/201512301807416591651216.zip
斯坦福大学人生设计课,http://piccdn.igetget.com/img/201801/05/201801051823161959739006.jpg,29.40,
为孩子重塑教育：更有可能成功的路,http://piccdn.igetget.com/img/201711/27/201711271558086893002589.jpg,16.99,
利维坦,http://piccdn.igetget.com/img/201711/17/201711171508327667861142.jpg,19.00,http://igetoss.cdn.igetget.com/ebook/201711/17/201711171524228083831463.zip
四夷居中国,http://piccdn.igetget.com/img/201807/16/201807161655021466441441.jpg,29.40,
鞋狗,http://piccdn.igetget.com/img/201711/22/201711221825121532635988.jpg,19.99,
共享经济：重构未来商业新模式,http://piccdn.igetget.com/img/201711/29/201711291837552739468352.jpg,16.99,http://igetoss.cdn.igetget.com/ebook/201711/29/201711291849550085026082.zip
高效进阶系列（6册装）,http://piccdn.igetget.com/img/201712/08/201712081546360872245104.jpg,39.99,http://igetoss.cdn.igetget.com/ebook/201712/05/201712051845161343553043.zip
天命与剑：帝制时代的合法性焦虑,http://piccdn.igetget.com/img/201712/05/201712051217312555356301.jpg,26.80,http://igetoss.cdn.igetget.com/ebook/201712/05/201712051301055031257891.zip
大历史：虚无与万物之间,http://piccdn.igetget.com/img/201712/20/201712201915277493216122.jpg,26.40,http://igetoss.cdn.igetget.com/ebook/201712/20/201712201834206403511252.zip
管理的实践,http://piccdn.igetget.com/img/201801/09/201801091722306878892321.jpg,18.00,http://igetoss.cdn.igetget.com/ebook/201801/09/201801091801459787633437.zip
金钱永不眠,http://piccdn.igetget.com/img/201712/13/201712131535065106961180.jpg,28.80,http://igetoss.cdn.igetget.com/ebook/201712/13/201712131550502490771302.zip
共同基金常识,http://piccdn.igetget.com/img/201712/19/201712192002132484704755.jpg,19.99,http://igetoss.cdn.igetget.com/ebook/201712/19/201712192013468656959220.zip
规则颠覆者,http://piccdn.igetget.com/img/201807/31/201807312226419850825230.jpg,22.80,
讲谈社·中国的历史,http://piccdn.igetget.com/img/201706/14/201706141145568636119131.jpg,298.00,http://igetoss.cdn.igetget.com/ebook/201706/14/201706141153231623012242.zip
为什么精英都是时间控,http://piccdn.igetget.com/img/201808/13/201808131309412682435305.jpg,19.99,
联邦论：美国宪法述评,http://piccdn.igetget.com/img/201711/27/201711271202548864919655.jpg,21.99,http://igetoss.cdn.igetget.com/ebook/201711/27/201711271213136172203673.zip
仿生人会梦见<hl>电子</hl>羊吗？,http://piccdn.igetget.com/img/201710/24/201710241026429283494586.jpg,19.90,http://igetoss.cdn.igetget.com/ebook/201710/24/201710241040062172997028.zip
互联网生态:重构商业规则,http://piccdn.igetget.com/img/201607/21/201607211219572615454207.jpg,24.00,http://igetoss.cdn.igetget.com/ebook/201604/07/201604071545451750136025.zip
疯传,http://piccdn.igetget.com/img/201610/03/201610032309304561092886.jpg,14.39,http://igetoss.cdn.igetget.com/ebook/201610/03/201610032314409793285886.zip
"游戏,让学习成瘾",http://piccdn.igetget.com/img/201610/06/201610060105479046677939.jpg,20.00,http://igetoss.cdn.igetget.com/ebook/201610/06/201610060112329909208127.zip
新创客时代,http://piccdn.igetget.com/img/201701/10/201701102343043169686643.jpg,28.80,http://igetoss.cdn.igetget.com/ebook/201701/10/201701102350252178807584.zip
奇点来临,http://piccdn.igetget.com/img/201709/13/201709131445519173228729.jpg,23.40,
水浒传（全2册）,http://piccdn.igetget.com/img/201710/12/201710121452574286061094.jpg,12.00,http://igetoss.cdn.igetget.com/ebook/201710/12/201710121456284592202956.zip
给孩子一场有温度的旅行,http://piccdn.igetget.com/img/201710/24/201710241637326638664888.jpg,19.90,http://igetoss.cdn.igetget.com/ebook/201710/24/201710241638472797877053.zip
极客物理学,http://piccdn.igetget.com/img/201712/01/201712011914453515744153.jpg,12.99,http://igetoss.cdn.igetget.com/ebook/201712/01/201712011923534399623265.zip
谷歌的断舍离,http://piccdn.igetget.com/img/201801/23/201801232151206549442400.jpg,12.99,
极限创新,http://piccdn.igetget.com/img/201802/09/201802091606446416807147.jpg,41.99,
设计你所喜爱的人生,http://piccdn.igetget.com/img/201803/30/201803301729321105967866.jpg,41.40,
网络的力量,http://piccdn.igetget.com/img/201804/01/201804012032328634844070.jpg,43.20,
同步：秩序如何从混沌中涌现,http://piccdn.igetget.com/img/201804/28/201804280945052218596613.jpg,19.99,
别再说你没时间,http://piccdn.igetget.com/img/201806/01/201806012330301680901773.jpg,11.04,
翻转世界,http://piccdn.igetget.com/img/201806/08/201806082355286643053421.jpg,19.99,
领导力：如何在组织中成就卓越,http://piccdn.igetget.com/img/201806/21/201806211917508100758167.jpg,47.60,
不可预知时代的可预知结果,http://piccdn.igetget.com/img/201807/01/201807011501332545481409.jpg,12.99,
数字乌托邦,http://piccdn.igetget.com/img/201807/03/201807032017162206743901.jpg,41.40,
把时间当朋友（第3版）,http://piccdn.igetget.com/img/201808/07/201808071523070655087876.jpg,19.99,
